athlete,timestamp,weekly_distance_m,weekly_mileage,weekly_time_s,avg_weekly_pace_km,avg_weekly_pace_mile,weekly_elevation_m,average heart rate (bpm),training_days,weekly_mileage_change,consistency_index,rest_days,recovery_ratio,fatigue_index,cumulative_mileage,training_intensity,actual_training_days
6583234,2019-02-04,49136.5,30.5319961415,14754,5.3171815187060885,8.557176821425669,569.0,,6,20.2835999643,8.926494019781225,1,0.16666666666666666,183.191976849,2958.973051597,0.18806956213210968,6
6583234,2019-02-11,20487.0,12.730027677,7988,6.498429898634907,10.458212402308614,734.0,,1,-17.8019684645,9.134631181473951,6,6.0,2.1216712795,2971.703079274,0.15388332498748122,1
6583234,2019-02-18,26453.4,16.4373756114,8163,5.108982284740403,8.222112529777544,306.0,,2,3.7073479343999995,9.060901475822602,5,2.5,6.57495024456,2988.1404548854002,0.1957336988595199,2
6583234,2019-02-25,42992.6,26.7143548546,15291,6.022093314434576,9.691622741380876,938.0,,4,10.2769792432,8.391786320444718,3,0.75,35.61913980613333,3014.85480974,0.16605521498696532,4
6583234,2019-03-04,45321.9,28.1617143249,16102,5.970985667096826,9.609372930337633,1705.0,,2,1.4473594703000003,7.597225689827735,5,2.5,11.26468572996,3043.0165240649,0.16747653666471007,2
6583234,2019-03-11,7635.8,4.7446646818,2386,5.207924076935837,8.381343958658897,193.0,,1,-23.4170496431,10.850945654756423,6,6.0,0.7907774469666666,3047.7611887467,0.1920150880134116,1
6583234,2019-03-18,10235.3,6.3599185963,4986,8.573326284184294,13.79743548408969,43.0,,2,1.6152539145000002,12.666724015129855,5,2.5,2.54396743852,3054.121107343,0.11664084240497849,2
6583234,2019-04-01,23746.6,14.7554485886,8038,5.598024930885167,9.00915062158544,351.0,,2,8.3955299923,10.711031056267277,5,2.5,5.90217943544,3068.8765559316003,0.17863443131216616,2
6583234,2019-04-15,40484.6,25.1559563866,15095,5.987016770602331,9.635172498559363,2294.0,,3,10.400507798,9.360342727065984,4,1.3333333333333333,18.86696728995,3094.0325123182,0.1670280940100647,3
6583234,2019-04-22,17100.4,10.6256926484,6076,5.921888766734501,9.530359103875949,402.0,,1,-14.5302637382,8.053605815684316,6,6.0,1.7709487747333332,3104.6582049666,0.1688650427913101,1
6583234,2019-04-29,25985.9,16.1468846689,10368,6.655878539380888,10.711601505993823,825.0,,2,5.521192020500001,6.123295952011071,5,2.5,6.4587538675600005,3120.8050896355,0.15024312629554346,2
6583234,2019-05-06,16042.3,9.9682199933,4597,4.789444048259814,7.7078654270312175,20.0,,5,-6.1786646756,7.024071724325489,2,0.4,24.920549983249998,3130.7733096288002,0.20879250074198857,5
6583234,2019-05-13,24045.2,14.9409899692,6915,5.230454145183212,8.417602600029953,839.0,,4,4.9727699759,3.0808026959953363,3,0.75,19.921319958933335,3145.7142995980003,0.19118798716951033,4
6583234,2019-05-20,39841.9,24.7566012449,16936,8.081159448320209,13.005369494746631,1809.4,,4,9.8156112757,6.147683742074852,3,0.75,33.00880165986667,3170.4709008429,0.1237446193699179,4
6583234,2019-06-03,41639.5,25.8735777545,15020,5.73453169463108,9.228837030745046,928.0,,3,1.1169765096000006,7.711033240913042,4,1.3333333333333333,19.405183315875004,3196.3444785974,0.1743821559023283,3
6583234,2019-06-10,48144.3,29.915471835300004,20670,7.002958316285023,11.27017243528427,1898.2,161.6,5,4.041894080800002,6.352829406446898,2,0.4,74.78867958825,3226.2599504327,0.14279679455960076,5
6583234,2019-06-24,25204.0,15.661034684,9207,6.069634448335494,9.768132803647891,1128.7,139.9,2,-14.254437151300003,6.0167324713588055,5,2.5,6.264413873600001,3241.9209851167,0.16475456776054034,2
6583234,2019-07-01,18608.0,11.562471568,6676,5.9795070220693605,9.623086726077274,116.1,146.8,1,-4.098563116000001,8.574480163719423,6,6.0,1.9270785946666666,3253.4834566847,0.1672378669862193,1
6583234,2019-08-05,10920.0,6.78537132,3348,5.1098901098901095,8.223573533187274,139.4,155.4,1,-4.777100247999999,9.972543363765025,6,6.0,1.13089522,3260.2688280047,0.1956989247311828,1
6583234,2019-08-12,31564.0,19.612954244,10805,5.619726087638334,9.044075258804055,509.3,146.25,2,12.827582924000001,5.502810870695326,5,2.5,7.8451816976,3279.8817822487,0.17794461587722077,2
6583234,2019-08-19,35417.9,22.0076559409,14897,6.739682763998137,10.846471373781746,1565.3000000000002,138.5,3,2.3947016969000003,7.0635936536629655,4,1.3333333333333333,16.505741955675003,3301.8894381896002,0.14837493618271977,3
6583234,2019-08-26,51780.4,32.1748389284,18135,5.47830562996,8.81648102334998,576.0,,3,10.167182987499999,10.439496520156782,4,1.3333333333333333,24.1311291963,3334.064277118,0.18253819110258393,3
6583234,2019-09-02,39785.7,24.7216801947,18370,6.471202490260553,10.414394122449476,1951.0,,3,-7.4531587337000005,5.446112807482573,4,1.3333333333333333,18.541260146025,3358.7859573127002,0.15453078488967767,3
6583234,2019-09-16,10255.0,6.372159605000001,4373,6.85098196275081,11.02559012691421,17.0,,2,-18.3495205897,10.852184973809168,5,2.5,2.5488638420000003,3365.1581169177,0.1459644771270832,2
6583234,2019-09-23,11915.0,7.403635465,6067,8.48650160861659,13.657704670183495,20.0,,1,1.0314758599999987,12.82128399050637,6,6.0,1.2339392441666666,3372.5617523827,0.11783418493489367,1
6583234,2019-09-30,23951.8,14.882953917799998,6418,4.31632715821416,6.946457363176202,430.0,,3,7.4793184527999985,8.479671184104674,4,1.3333333333333333,11.16221543835,3387.4447063005,0.23167845331115738,3
6583234,2019-10-07,13527.099999999999,8.4053476541,5358,6.575276569481593,10.581885169217092,154.0,,2,-6.4776062636999985,3.835518551026975,5,2.5,3.3621390616399998,3395.8500539546,0.1520848574859022,2
6583234,2019-10-14,51882.3,32.2381566333,20417,6.72973118238099,10.830455850660861,415.0,,4,23.832808979200003,11.492252105692726,3,0.75,42.9842088444,3428.0882105879,0.1485943454350874,4
6583234,2019-10-21,23188.3,14.4085371593,7710,5.713831512355654,9.195523306294714,133.0,,2,-17.829619474,10.26857631371226,5,2.5,5.76341486372,3442.4967477472,0.1750139110398318,2
6583234,2019-10-28,57399.5,35.6663847145,21135,6.411101077303289,10.31767024419113,507.0,,3,21.257847555199998,13.319000746825857,4,1.3333333333333333,26.749788535875,3478.1631324617,0.15597944689099044,3
6583234,2019-11-04,21445.8,13.3257981918,6624,5.147861119659794,8.28468196883954,90.0,,1,-22.340586522699997,11.68865401687414,6,6.0,2.2209663653000002,3491.4889306535,0.19425543478260868,1
6583234,2019-11-11,20146.4,12.5183887144,6948,5.885496732771461,9.471791784250408,29.0,,2,-0.8074094774000002,11.151324669288956,5,2.5,5.00735548576,3504.0073193679,0.1699091929542374,2
6583234,2019-11-18,13907.9,8.641965730899999,4647,5.568777457416289,8.962081361081044,244.0,,1,-3.8764229835000013,12.257200598468074,6,6.0,1.4403276218166665,3512.6492850988,0.17957262750161393,1
6583234,2019-11-25,19819.8,12.3154489458,6525,5.486937305119123,8.830372362274911,95.0,,1,3.673483214900001,2.0851323061880045,6,6.0,2.0525748243,3524.9647340446,0.18225103448275862,1
6583234,2019-12-02,45482.2,28.261320096200002,17864,6.4612041700648275,10.398303380854315,527.0,,4,15.945871150400002,8.734949339555808,3,0.75,37.68176012826667,3553.2260541408,0.1547699118738677,4
6583234,2019-12-09,32988.6,20.4981593706,11959,6.0589500114564006,9.75093786394344,223.0,,3,-7.763160725600002,8.758220392656924,4,1.3333333333333333,15.37361952795,3573.7242135114,0.1650450982611141,3
6583234,2019-12-16,20689.9,12.856103852899999,8576,7.018705285884974,11.295514734168435,127.0,,3,-7.642055517700001,7.513921683891191,4,1.3333333333333333,9.642077889674999,3586.5803173643,0.14247641969111574,3
6583234,2019-12-30,39507.2,24.548628371200003,14661,5.637468097684917,9.072628265054078,230.0,,3,11.692524518300004,6.601097592261293,4,1.3333333333333333,18.411471278400004,3611.1289457355,0.17738459582780788,3
7191483,2016-10-24,7516.3,4.6704108473,1952,4.3283707852711215,6.965839708114993,92.5,,1,,,6,6.0,0.7784018078833334,4.6704108473,0.23103381147540986,1
7191483,2016-10-31,7811.5,4.8538395665000005,2263,4.828351362307709,7.770480698821974,76.9,,1,0.18342871920000015,0.12970369121068318,6,6.0,0.8089732610833335,9.5242504138,0.20711003093239064,1
7191483,2016-12-26,8193.8,5.0913896998,2704,5.500093566680499,8.851545319431546,143.4,,1,0.2375501332999992,0.2110684545790835,6,6.0,0.8485649499666666,14.615640113600001,0.18181508875739644,1
7191483,2017-01-02,23456.0,14.574878175999999,7112,5.0547787171923,8.134880316577858,307.70000000000005,154.7,2,9.483488476199998,4.854559006284744,5,2.5,5.8299512704,29.1905182896,0.19783259682541643,2
7191483,2017-01-09,10559.9,6.5616156229,3564,5.625053267549882,9.052648526483988,198.4,156.1,1,-8.013262553099999,4.598749970192278,6,6.0,1.0936026038166666,35.7521339125,0.17777609427609428,1
7191483,2017-01-16,7940.0,4.9336857400000005,2500,5.24769101595298,8.445342663164164,143.9,159.4,1,-1.6279298828999993,4.582012953919626,6,6.0,0.8222809566666668,40.6858196525,0.19056000000000003,1
7191483,2017-10-02,13039.599999999999,8.1024292916,4272,5.465321388895852,8.795584906434083,816.2,158.8,2,3.1687435515999995,4.224164227544182,5,2.5,3.24097171664,48.788248944100005,0.18297185633616106,2
7191483,2017-10-23,7576.4,4.7077552444,2372,5.217957517202541,8.397491220547051,419.4,,1,-3.3946740471999997,1.583162787472322,6,6.0,0.7846258740666667,53.4960041885,0.19164586846543,1
7191483,2017-11-06,10517.9,6.5355180409,3624,5.742591201665732,9.24180755404699,258.2,155.3,1,1.8277627965,1.5805480747573029,6,6.0,1.0892530068166668,60.031522229400004,0.17413741721854303,1
7191483,2017-11-20,16592.9,10.310346865900001,5274,5.253608780638923,8.45486638520131,341.0,165.15,2,3.774828825000001,2.3775513514403257,5,2.5,4.124138746360001,70.3418690953,0.1903453495976501,2
7191483,2017-12-11,12012.8,7.464405548799999,4008,5.560735215769846,8.949138623736618,1052.2,154.4,1,-2.845941317100002,2.3370283349280796,6,6.0,1.2440675914666666,77.8062746441,0.17983233532934131,1
7191483,2017-12-18,12747.9,7.9211753709,4569,5.973532895614181,9.613472298536912,398.4,158.9,1,0.45676982210000094,1.6085286232000182,6,6.0,1.3201958951500001,85.727450015,0.16740512147078132,1
7191483,2017-12-25,10232.4,6.3581166204,3324,5.414174582698096,8.713272075294947,159.4,161.0,1,-1.5630587505000006,1.6659159854601189,6,6.0,1.0596861034,92.0855666354,0.18470036101083034,1
7191483,2018-01-01,20734.9,12.8840655479,6029,4.887738565342833,7.866055167271776,313.1,,2,6.525948927500001,2.893479297491494,5,2.5,5.15362621916,104.9696321833,0.20459359407858563,2
